Code,Ex,Date,Open,High,Low,Close,Adjusted_close,Volume,Prev_close,Change,Change_%
1808,,2016-05-30,1241,1248,1216,1232,1232,2527600
2768,,2016-05-30,248,249,245,249,249,6936000
ACW,US,2016-05-30,1.58,1.605,1.5,1.58,1.58,158130
AEGR,US,2016-05-30,1.84,1.97,1.77,1.78,1.78,1359263
AFOP,US,2016-05-30,18.53,18.55,18.5,18.52,18.52,144652
AMTG,US,2016-05-30,13.47,13.5,13.43,13.46,12.9901,308609
AXLL,US,2016-05-30,23.38,23.57,22.96,23.29,23.1757,544972
BARA,US,2016-05-30,0.7,0.7,0.7,0.7,0.7,0
BBBI,US,2016-05-30,9.25,9.25,9.25,9.25,9.25,0
BXLT,US,2016-05-30,45.65,45.95,45.23,45.23,45.23,15429205
CERE,US,2016-05-30,0.242,0.244,0.216,0.22,0.22,396253
CPGX,US,2016-05-30,25.51,25.57,25.47,25.54,25.54,5615801
CPHD,US,2016-05-30,28.34,28.4771,27.84,28.01,28.01,624737
CYNA,US,2016-05-30,14.1,14.5,13.8,14.03,14.03,24619
DHIFF,US,2016-05-30,26.4282,26.4282,26.4282,26.4282,25.8938,0
DWA,US,2016-05-30,40.19,40.25,40.11,40.24,40.24,1133535
DYGO,US,2016-05-30,0.75,0.75,0.75,0.75,0.75,0
EXAM,US,2016-05-30,34.84,34.99,34.84,34.91,34.91,527092
FBRC,US,2016-05-30,19.29,19.43,18.99,19.22,18.9696,26153
FDNH,US,2016-05-30,3,3,3,3,3,0
FEIC,US,2016-05-30,107.55,108.13,107.4,107.45,107.148,2116694
FLTX,US,2016-05-30,41.25,41.35,40.6915,40.9,40.9,268655
FMD,US,2016-05-30,3.51,3.88,3.51,3.88,3.88,11442
FNFG,US,2016-05-30,10.94,11.02,10.89,10.92,10.8348,2563952
FSYS,US,2016-05-30,5.42,5.42,5.2,5.23,5.23,11580
FULL,US,2016-05-30,2.65,2.7,2.65,2.67,2.67,45785
FXCB,US,2016-05-30,20.05,20.33,20.05,20.24,20.1022,17049
HNSN,US,2016-05-30,3.99,4,3.97,4,4,64126
HTS,US,2016-05-30,16.07,16.15,16.05,16.09,15.5575,1618982
IMPR,US,2016-05-30,13.5,13.93,13.41,13.59,13.59,111709
KKD,US,2016-05-30,21.4,21.52,21.21,21.38,21.38,1474053
LDRH,US,2016-05-30,21.17,21.55,20.45,21.03,21.03,344304
MFRM,US,2016-05-30,34.03,34.358,33.078,33.78,33.78,447402
MGHOF,US,2016-05-30,0.18,0.18,0.18,0.18,0.18,0
MGN,US,2016-05-30,0.86,0.875,0.83,0.875,0.875,283458
MHGC,US,2016-05-30,2.19,2.21,2.18,2.19,2.19,321942
MKTO,US,2016-05-30,35,35.3,34.9,35.23,35.23,9800604
MWW,US,2016-05-30,2.72,2.75,2.6,2.65,2.65,1255614
NATL,US,2016-05-30,31.04,31.24,30.91,31.09,30.9568,14148
NSPH,US,2016-05-30,1.7,1.7,1.69,1.7,1.7,773153
NVDL,US,2016-05-30,0.009,0.009,0.009,0.009,0.009,0
NZH,US,2016-05-30,15.15,15.17,15.05,15.13,14.8082,102796
OPWR,US,2016-05-30,10.28,10.29,10.28,10.29,10.29,1042603
OSGB,US,2016-05-30,1.85,1.85,1.85,1.85,1.85,0
OUTR,US,2016-05-30,40.6,41.56,40.03,41.25,40.2403,324692
PGND,US,2016-05-30,33.95,34.3,33.62,34.03,34.03,369829
PLCM,US,2016-05-30,11.99,12.15,11.97,12,12,1217252
PNY,US,2016-05-30,59.96,60.1,59.84,60.06,59.344,474359
QLIK,US,2016-05-30,31.94,32.87,27.71,28.7,28.7,6494372
RAX,US,2016-05-30,24.96,25.22,24.77,25,25,1775440
RDEN,US,2016-05-30,9.12,9.46,8.91,9.18,9.18,142193
RKUS,US,2016-05-30,12.87,12.87,12.87,12.87,12.87,0
RLOC,US,2016-05-30,1.65,1.89,1.6145,1.8,1.8,47176
RPTP,US,2016-05-30,5.39,5.66,5.39,5.53,5.53,793332
RSE,US,2016-05-30,18.25,18.33,18.22,18.25,18.25,184187
SGNT,US,2016-05-30,12.41,13.22,12.4,12.94,12.94,564973
SKUL,US,2016-05-30,3.91,3.9499,3.8,3.89,3.89,198007
SQI,US,2016-05-30,17.56,17.81,17.55,17.64,17.64,6926460
SQNM,US,2016-05-30,1.03,1.07,1.02,1.02,1.02,1488462
SSRG,US,2016-05-30,13.02,13.08,12.93,12.96,12.96,23782
TDBK,US,2016-05-30,0.49,0.49,0.49,0.49,0.49,0
TLMR,US,2016-05-30,20,20.03,19.73,19.94,19.8905,427919
TUMI,US,2016-05-30,26.78,26.86,26.65,26.83,26.83,335660
TXTR,US,2016-05-30,26.01,26.07,26,26,26,480521
UNTD,US,2016-05-30,10.95,10.95,10.88,10.93,10.93,80251
VTAE,US,2016-05-30,9.72,10.13,9.44,10.03,10.03,301707
WFD,US,2016-05-30,7.75,7.77,7.71,7.71,7.6798,22841
XNPT,US,2016-05-30,7.04,7.09,7.03,7.09,7.09,1827468
ZAOFF,US,2016-05-30,0.11,0.11,0.11,0.11,0.11,0
