Code,Ex,Date,Open,High,Low,Close,Adjusted_close,Volume,Prev_close,Change,Change_%
1125:HK,US,2013-04-26,0.023,0.023,0.023,0.023,0.0226,0
1808,,2013-04-26,144,147,140,147,147,2500
2768,,2013-04-26,155,155,151,151,151,9120900
A,US,2013-04-26,42.44,42.57,40.69,41.3,28.3652,7318178
AAAAX,US,2013-04-26,9.61,9.61,9.61,9.61,8.7566,0
AAADX,US,2013-04-26,13.97,13.97,13.97,13.97,10.7496,0
AAAGX,US,2013-04-26,5.97,5.97,5.97,5.97,5.8358,0
AAAIF,US,2013-04-26,0.27,0.27,0.27,0.27,0.27,0
AAAIX,US,2013-04-26,8.57,8.57,8.57,8.57,5.6194,0
AAALF,US,2013-04-26,22.75,22.75,22.75,22.75,18.9272,0
AAALY,US,2013-04-26,23.29,23.29,23.29,23.29,17.5552,0
AAANX,US,2013-04-26,11.33,11.33,11.33,11.33,8.7312,0
AAAPX,US,2013-04-26,9.55,9.55,9.55,9.55,9.0169,0
AAAQX,US,2013-04-26,9.66,9.66,9.66,9.66,8.9064,0
AAARX,US,2013-04-26,8.64,8.64,8.64,8.64,5.8055,0
AAASX,US,2013-04-26,9.54,9.54,9.54,9.54,8.6194,0
AAATX,US,2013-04-26,10.06,10.06,10.06,10.06,8.2964,0
AAAZX,US,2013-04-26,9.55,9.55,9.55,9.55,8.5496,0
AABA,US,2013-04-26,25.14,25.37,24.58,24.68,24.68,19573299
AABAX,US,2013-04-26,13.41,13.41,13.41,13.41,9.8452,0
AABCX,US,2013-04-26,12.56,12.56,12.56,12.56,10.8187,0
AABFX,US,2013-04-26,13.05,13.05,13.05,13.05,11.3715,0
AABNF,US,2013-04-26,54,54,54,54,43.4098,0
AABNX,US,2013-04-26,14.51,14.51,14.51,14.51,14.51,0
AABOX,US,2013-04-26,9.67,9.67,9.67,9.67,8.7737,0
AABPX,US,2013-04-26,14.09,14.09,14.09,14.09,10.9954,0
AABTX,US,2013-04-26,10.26,10.26,10.26,10.26,8.5461,0
AABVF,US,2013-04-26,0.2252,0.2252,0.2252,0.2252,0.2252,0
AACAF,US,2013-04-26,4.61,4.61,4.61,4.61,2.1819,0
AACAY,US,2013-04-26,47.77,47.77,47.69,47.69,4.1671,29820
AACC,US,2013-04-26,6.49,6.49,6.48,6.49,6.49,59168
AACCX,US,2013-04-26,5.99,5.99,5.99,5.99,4.661,0
AACFX,US,2013-04-26,18.79,18.79,18.79,18.79,18.0837,0
AACIX,US,2013-04-26,12.18,12.18,12.18,12.18,9.8006,0
AACRX,US,2013-04-26,6,6,6,6,4.6087,0
AACS,US,2013-04-26,0.002,0.0024,0.002,0.0024,0.0024,76000
AACTX,US,2013-04-26,10.41,10.41,10.41,10.41,8.9354,0
AACYX,US,2013-04-26,11.54,11.54,11.54,11.54,9.4291,0
AADAX,US,2013-04-26,12.73,12.73,12.73,12.73,11.7688,0
AADBX,US,2013-04-26,15.32,15.32,15.32,15.32,12.5373,0
AADCX,US,2013-04-26,12.59,12.59,12.59,12.59,12.0937,0
AADDX,US,2013-04-26,13.98,13.98,13.98,13.98,10.5451,0
AADEX,US,2013-04-26,24.59,24.59,24.59,24.59,17.4049,0
AADIX,US,2013-04-26,12.79,12.79,12.79,12.79,11.6193,0
