Code,Ex,Date,Open,High,Low,Close,Adjusted_close,Volume,Prev_close,Change,Change_%
1125:HK,US,2016-12-02,0.02,0.02,0.02,0.02,0.0197,0
1808,,2016-12-02,1182,1199,1182,1196,1196,2348000
2768,,2016-12-02,297,299,293,295,295,8890600
A,US,2016-12-02,43.27,44.09,43.27,44.03,43.4097,2153515
AA,US,2016-12-02,28.86,29.625,28.73,29.04,29.04,3870676
AAAAX,US,2016-12-02,8.33,8.33,8.33,8.33,8.1822,0
AAADX,US,2016-12-02,15.43,15.43,15.43,15.43,14.4109,0
AAAGX,US,2016-12-02,8.13,8.13,8.13,8.13,8.0824,0
AAAIF,US,2016-12-02,0.06,0.06,0.06,0.06,0.06,0
AAAIX,US,2016-12-02,7.73,7.73,7.73,7.73,6.9169,0
AAALF,US,2016-12-02,27.0347,27.0347,27.0347,27.0347,23.785,0
AAALY,US,2016-12-02,34,34,34,34,28.1382,0
AAANX,US,2016-12-02,11.52,11.52,11.52,11.52,10.1632,0
AAAP,US,2016-12-02,29.45,30.1488,29.35,29.64,29.64,100155
AAAPX,US,2016-12-02,8.27,8.27,8.27,8.27,8.1973,0
AAAQX,US,2016-12-02,8.37,8.37,8.37,8.37,8.2579,0
AAARX,US,2016-12-02,7.78,7.78,7.78,7.78,7.0211,0
AAASX,US,2016-12-02,8.27,8.27,8.27,8.27,8.1008,0
AAATX,US,2016-12-02,10.32,10.32,10.32,10.32,9.8056,0
AAAUX,US,2016-12-02,7.72,7.72,7.72,7.72,6.8957,0
AAAVX,US,2016-12-02,8.28,8.28,8.28,8.28,8.0913,0
AAAZX,US,2016-12-02,8.28,8.28,8.28,8.28,8.0909,0
AABA,US,2016-12-02,39.77,40.32,39.58,40.07,40.07,8588544
AABAX,US,2016-12-02,13.19,13.19,13.19,13.19,12.008,0
AABCX,US,2016-12-02,13.66,13.66,13.66,13.66,13.4067,0
AABFX,US,2016-12-02,12.22,12.22,12.22,12.22,11.8413,0
AABNF,US,2016-12-02,62.81,62.81,62.81,62.81,50.4921,0
AABOX,US,2016-12-02,9.4,9.4,9.4,9.4,9.1383,0
AABPX,US,2016-12-02,14.3553,14.3553,14.3553,14.3553,13.9943,0
AABSX,US,2016-12-02,13.49,13.49,13.49,13.49,12.3828,0
AABTX,US,2016-12-02,10.94,10.94,10.94,10.94,10.34,0
AABUX,US,2016-12-02,15.77,15.77,15.77,15.77,14.8779,0
AABVF,US,2016-12-02,0.111,0.111,0.111,0.111,0.111,0
AAC,US,2016-12-02,8.41,8.72,8.35,8.42,8.42,166190
AACAF,US,2016-12-02,8.93,8.93,8.93,8.93,7.6975,0
AACAY,US,2016-12-02,89.39,89.39,87.149,88.1,8.4549,18140
AACBX,US,2016-12-02,13.17,13.17,13.17,13.17,12.1281,0
AACCX,US,2016-12-02,5.54,5.54,5.54,5.54,5.1597,0
AACDX,US,2016-12-02,5.62,5.62,5.62,5.62,5.1459,0
AACEX,US,2016-12-02,13.44,13.44,13.44,13.44,2.9188,0
AACFX,US,2016-12-02,21.65,21.65,21.65,21.65,21.3783,0
AACIX,US,2016-12-02,15.2373,15.2373,15.2373,15.2373,14.5166,0
AACOX,US,2016-12-02,13.64,13.64,13.64,13.64,12.9655,0
AACRX,US,2016-12-02,5.6,5.6,5.6,5.6,5.1901,0
AACS,US,2016-12-02,0.0065,0.0066,0.006,0.006,0.006,4000
AACTF,US,2016-12-02,0.0921,0.1015,0.0921,0.1015,0.1015,25100
AACTX,US,2016-12-02,11.67,11.67,11.67,11.67,11.0529,0
AACYX,US,2016-12-02,10.72,10.72,10.72,10.72,8.7591,0
AADAX,US,2016-12-02,14,14,14,14,13.5936,0
AADBX,US,2016-12-02,15.9883,15.9883,15.9883,15.9883,15.5769,0
AADCX,US,2016-12-02,13.78,13.78,13.78,13.78,13.5882,0
AADDX,US,2016-12-02,15.43,15.43,15.43,15.43,14.2449,0
AADEX,US,2016-12-02,27.8797,27.8797,27.8797,27.8797,24.4692,0
AADIX,US,2016-12-02,14.1,14.1,14.1,14.1,13.594,0
AADR,US,2016-12-02,40.27,40.27,39.8105,39.8105,39.424,2341
AADRX,US,2016-12-02,13.94,13.94,13.94,13.94,13.6048,0
AADSX,US,2016-12-02,14,14,14,14,13.5665,0
AADTX,US,2016-12-02,12.2,12.2,12.2,12.2,11.5571,0
AADYX,US,2016-12-02,14,14,14,14,13.5257,0
AAEBX,US,2016-12-02,13.77,13.77,13.77,13.77,13.5782,0
AAEEF,US,2016-12-02,0.16,0.16,0.16,0.16,0.16,0
AAEH,US,2016-12-02,0.003,0.003,0.003,0.003,0.003,0
AAEMX,US,2016-12-02,8.48,8.48,8.48,8.48,8.1782,0
AAEQX,US,2016-12-02,13.56,13.56,13.56,13.56,3.0384,0
AAETX,US,2016-12-02,12.77,12.77,12.77,12.77,12.0479,0
AAFTX,US,2016-12-02,12.84,12.84,12.84,12.84,12.1172,0
AAGC,US,2016-12-02,0.0013,0.0013,0.0013,0.0013,0.0013,0
AAGH,US,2016-12-02,0.006,0.006,0.006,0.006,0.006,0
AAGIY,US,2016-12-02,23,23.68,23,23.51,22.7034,109511
AAGOX,US,2016-12-02,52.12,52.12,52.12,52.12,47.4864,0
AAGPX,US,2016-12-02,26.0668,26.0668,26.0668,26.0668,22.8185,0
AAGTX,US,2016-12-02,13.06,13.06,13.06,13.06,12.3112,0
AAHMX,US,2016-12-02,10.08,10.08,10.08,10.08,9.6952,0
AAHTX,US,2016-12-02,13.19,13.19,13.19,13.19,12.456,0
AAHYX,US,2016-12-02,6.94,6.94,6.94,6.94,6.6368,0
AAI,US,2016-12-02,0.5,0.5,0.5,0.5,0.5,0
AAIBX,US,2016-12-02,10.35,10.35,10.35,10.35,10.0787,0
AAIEX,US,2016-12-02,17.2637,17.2637,17.2637,17.2637,16.3233,0
AAIFX,US,2016-12-02,8.3,8.3,8.3,8.3,8.1171,0
AAIGF,US,2016-12-02,5.92,5.92,5.79,5.85,5.1414,31259
AAIIQ,US,2016-12-02,0.035,0.035,0.035,0.035,0.035,0
AAIIX,US,2016-12-02,8.11,8.11,8.11,8.11,7.4855,0
AAINF,US,2016-12-02,0.154,0.154,0.154,0.154,0.154,0
AAINX,US,2016-12-02,10.08,10.08,10.08,10.08,9.5762,0
AAIPX,US,2016-12-02,17.0837,17.0837,17.0837,17.0837,16.2588,0
AAIR,US,2016-12-02,0.001,0.001,0.001,0.001,0.001,0
AAISX,US,2016-12-02,17.4572,17.4572,17.4572,17.4572,16.6285,0
AAIT,US,2016-12-02,0,0,0,0,0,0
AAIYX,US,2016-12-02,11.38,11.38,11.38,11.38,9.4325,0
AAL,US,2016-12-02,46.09,46.86,45.91,46.1,45.5075,6505099
AALBF,US,2016-12-02,33.7,33.7,33.7,33.7,32.5844,0
AALGX,US,2016-12-02,25.14,25.14,25.14,25.14,24.6082,0
AALTX,US,2016-12-02,12.9,12.9,12.9,12.9,12.1748,0
AAMAF,US,2016-12-02,2.47,2.47,2.47,2.47,2.47,0
AAMAX,US,2016-12-02,10.24,10.24,10.24,10.24,9.725,0
AAMBX,US,2016-12-02,11.15,11.15,11.15,11.15,10.5936,0
AAMC,US,2016-12-02,27.7,28.35,27.7,28,28,4854
AAMCX,US,2016-12-02,10.18,10.18,10.18,10.18,9.6945,0
AAME,US,2016-12-02,3.95,3.95,3.95,3.95,3.9049,497
AAMIX,US,2016-12-02,10.24,10.24,10.24,10.24,9.725,0
AAMOX,US,2016-12-02,4.96,4.96,4.96,4.96,4.96,0
AAMPX,US,2016-12-02,14.78,14.78,14.78,14.78,12.6594,0
AAMTF,US,2016-12-02,0.0705,0.0705,0.0705,0.0705,0.0705,0
AAMTX,US,2016-12-02,15.98,15.98,15.98,15.98,15.1588,0
AAN,US,2016-12-02,29.44,29.55,29.19,29.4,29.2438,494443
AANOF,US,2016-12-02,6.81,6.81,6.81,6.81,6.81,0
AANTX,US,2016-12-02,10.37,10.37,10.37,10.37,9.9793,0
AAOI,US,2016-12-02,23.4,23.74,22.9035,23.27,23.27,456612
AAON,US,2016-12-02,32.6,32.7,32.15,32.5,32.1135,95401
AAOPX,US,2016-12-02,13.85,13.85,13.85,13.85,13.1447,0
AAP,US,2016-12-02,170.46,171.98,169.88,170.14,169.5544,487012
AAPC,US,2016-12-02,9.9,9.9,9.9,9.9,9.9,0
AAPEX,US,2016-12-02,10.21,10.21,10.21,10.21,10.0688,0
AAPH,US,2016-12-02,0.0003,0.0003,0.0003,0.0003,0.0003,0
AAPIX,US,2016-12-02,10.21,10.21,10.21,10.21,10.0678,0
AAPL,US,2016-12-02,109.17,110.09,108.85,109.9,107.3034,26527997
AAPT,US,2016-12-02,0.0001,0.0001,0.0001,0.0001,0.0001,0
AARAX,US,2016-12-02,9.83,9.83,9.83,9.83,8.2066,0
AARBX,US,2016-12-02,22.9,22.9,22.9,22.9,19.0281,0
AARCX,US,2016-12-02,9.7,9.7,9.7,9.7,8.1547,0
AARMX,US,2016-12-02,10.36,10.36,10.36,10.36,9.8886,0
AARYX,US,2016-12-02,9.87,9.87,9.87,9.87,8.2226,0
AASCX,US,2016-12-02,23.73,23.73,23.73,23.73,23.6851,0
AASL,US,2016-12-02,0.1903,0.1903,0.1903,0.1903,0.0002,0
AASMX,US,2016-12-02,19.67,19.67,19.67,19.67,19.6364,0
AASOX,US,2016-12-02,21.18,21.18,21.18,21.18,21.18,0
AASP,US,2016-12-02,0.51,0.51,0.51,0.51,0.51,0
AASSX,US,2016-12-02,26.2652,26.2652,26.2652,26.2652,23.3508,0
AAST,US,2016-12-02,0.0006,0.0006,0.0006,0.0006,0.0006,600
AASTX,US,2016-12-02,9.53,9.53,9.53,9.53,9.3115,0
AAT,US,2016-12-02,39.32,40.05,39.32,39.77,37.9127,250427
AATCX,US,2016-12-02,13.36,13.36,13.36,13.36,13.36,0
AATFX,US,2016-12-02,10.86,10.86,10.86,10.86,10.2203,0
AATGF,US,2016-12-02,0.056,0.056,0.056,0.056,0.056,0
AATIX,US,2016-12-02,13.69,13.69,13.69,13.69,13.6329,0
AATRL,US,2016-12-02,53.11,54.25,53.11,54.25,50.9425,28297
AATSX,US,2016-12-02,13.92,13.92,13.92,13.92,12.9115,0
AATV,US,2016-12-02,1.59,1.59,1.59,1.59,1.59,0
AAU,US,2016-12-02,1.04,1.09,1.04,1.08,1.08,355115
AAUKF,US,2016-12-02,15.05,15.05,15.05,15.05,14.3197,220
AAUPX,US,2016-12-02,22.15,22.15,22.15,22.15,15.6465,0
AAUTX,US,2016-12-02,20.93,20.93,20.93,20.93,20.4676,0
AAV,US,2016-12-02,7.3,7.375,7.2,7.25,7.25,73151
AAVPX,US,2016-12-02,10.58,10.58,10.58,10.58,9.2071,0
AAVXF,US,2016-12-02,7.6671,7.6671,7.6671,7.6671,7.6671,0
AAWC,US,2016-12-02,0.0007,0.001,0.0007,0.001,0.001,21387
AAWEX,US,2016-12-02,9.52,9.52,9.52,9.52,9.4264,0
AAWW,US,2016-12-02,49.75,50.45,49.65,49.65,49.65,118785
AAXAX,US,2016-12-02,9.7,9.7,9.7,9.7,9.7,0
AAXCX,US,2016-12-02,9.26,9.26,9.26,9.26,9.26,0
AAXJ,US,2016-12-02,56.62,56.85,56.5,56.62,54.5184,669123
AAXN,US,2016-12-02,27.6,28.01,27.4565,27.92,27.92,560896
AAZAX,US,2016-12-02,10.83,10.83,10.83,10.83,10.3578,0
AAZBX,US,2016-12-02,10.82,10.82,10.82,10.82,10.4638,0
AAZCX,US,2016-12-02,10.82,10.82,10.82,10.82,10.4637,0
AB,US,2016-12-02,23.05,23.15,22.705,22.8,19.6833,225435
ABAC,US,2016-12-02,3.25,3.25,3.01,3.07,3.07,31953
ABAEX,US,2016-12-02,8.54,8.54,8.54,8.54,8.0277,0
ABAKF,US,2016-12-02,3.43,3.43,3.43,3.43,2.7962,0
ABALX,US,2016-12-02,25.1,25.1,25.1,25.1,23.2964,0
ABAMX,US,2016-12-02,20.02,20.02,20.02,20.02,18.9908,0
ABASX,US,2016-12-02,22.07,22.07,22.07,22.07,20.0025,0
ABAX,US,2016-12-02,50.95,51.96,50.48,50.6,49.7742,132327
ABB,US,2016-12-02,20.63,20.73,20.54,20.61,19.2129,1433128
ABBAF,US,2016-12-02,2.385,2.385,2.385,2.385,2.385,0
ABBB,US,2016-12-02,9.6,9.6,9.6,9.6,9.6,0
ABBDX,US,2016-12-02,9.71,9.71,9.71,9.71,9.6463,0
ABBSX,US,2016-12-02,20.8,20.8,20.8,20.8,18.7981,0
ABBV,US,2016-12-02,59.19,60,58.95,59.43,56.3244,8020668
ABBY,US,2016-12-02,0.002,0.002,0.002,0.002,0.002,0
ABC,US,2016-12-02,78.15,79.58,77.66,78.8,76.7863,1733280
ABCAF,US,2016-12-02,0.1389,0.1389,0.1389,0.1389,0.1389,1740
ABCAX,US,2016-12-02,14.939,14.939,14.939,14.939,14.4588,0
ABCB,US,2016-12-02,44.45,44.5,43.8,44.2,43.5656,127670
ABCCX,US,2016-12-02,14.4672,14.4672,14.4672,14.4672,14.2518,0
ABCD,US,2016-12-02,4.77,4.96,4.45,4.65,4.65,90583
ABCE,US,2016-12-02,0.0044,0.0047,0.0036,0.0039,0.039,1922210
ABCEX,US,2016-12-02,8.51,8.51,8.51,8.51,8.0712,0
ABCFF,US,2016-12-02,0.04,0.04,0.04,0.04,0.24,0
ABCFX,US,2016-12-02,20.98,20.98,20.98,20.98,20.98,0
ABCIX,US,2016-12-02,15.0732,15.0732,15.0732,15.0732,14.5188,0
ABCO,US,2016-12-02,32.15,32.3,30.4,31.95,31.95,975179
ABCP,US,2016-12-02,0.95,0.95,0.95,0.95,0.95,1900
ABCSX,US,2016-12-02,19.81,19.81,19.81,19.81,17.8054,0
ABCVX,US,2016-12-02,15.0239,15.0239,15.0239,15.0239,14.5387,0
ABCYX,US,2016-12-02,15.0006,15.0006,15.0006,15.0006,14.4606,0
ABCZF,US,2016-12-02,10.2519,10.2519,10.2519,10.2519,10.1686,21711
ABCZY,US,2016-12-02,10.75,10.75,10.75,10.75,10.56,258
ABDAX,US,2016-12-02,9.74,9.74,9.74,9.74,9.4449,0
ABDC,US,2016-12-02,11.7,11.89,11.36,11.51,9.4722,28465
ABDNF,US,2016-12-02,3.34,3.34,3.34,3.34,3.1638,0
ABDNY,US,2016-12-02,6.81,6.87,6.722,6.83,5.9794,113464
ABDR,US,2016-12-02,0.02,0.02,0.02,0.02,0.02,0
ABE,US,2016-12-02,11.27,11.27,11.17,11.17,11.0126,6500
ABEC,US,2016-12-02,0.0035,0.0035,0.0035,0.0035,0.0035,0
ABECX,US,2016-12-02,14.8471,14.8471,14.8471,14.8471,14.5291,0
ABEIX,US,2016-12-02,9.8,9.8,9.8,9.8,9.3694,0
ABEMX,US,2016-12-02,12.47,12.47,12.47,12.47,12.1501,0
ABEO,US,2016-12-02,6.25,6.4,6.1,6.2,6.2,268893
ABEOW,US,2016-12-02,3.3333,3.35,3.33,3.33,3.33,6761
ABERX,US,2016-12-02,9.8,9.8,9.8,9.8,9.4363,0
ABESX,US,2016-12-02,9.8,9.8,9.8,9.8,9.4007,0
ABETF,US,2016-12-02,0.033,0.033,0.033,0.033,0.033,0
ABEV,US,2016-12-02,4.74,4.81,4.7,4.78,4.5381,36156181
ABEYX,US,2016-12-02,17.8762,17.8762,17.8762,17.8762,16.9584,0
ABFAX,US,2016-12-02,14.331,14.331,14.331,14.331,13.9829,0
ABFOF,US,2016-12-02,15,15,15,15,14.0672,0
ABG,US,2016-12-02,58.7,59.5,56.75,56.9,56.9,232723
ABGLF,US,2016-12-02,5.58,5.58,5.58,5.58,5.4307,0
ABGOF,US,2016-12-02,0.52,0.52,0.52,0.52,0.52,0
ABGOY,US,2016-12-02,0.1245,0.1245,0.1245,0.1245,0.1245,0
ABGSF,US,2016-12-02,0.52,0.52,0.52,0.52,0.5117,0
ABHD,US,2016-12-02,0.014,0.017,0.014,0.017,0.017,91900
ABHFX,US,2016-12-02,15.11,15.11,15.11,15.11,14.2989,0
ABHI,US,2016-12-02,0.0004,0.0004,0.0003,0.0003,0.0003,14191033
ABHIX,US,2016-12-02,5.61,5.61,5.61,5.61,5.2179,0
ABHMX,US,2016-12-02,15.11,15.11,15.11,15.11,15.11,0
ABHYX,US,2016-12-02,9.11,9.11,9.11,9.11,8.6468,0
ABIAX,US,2016-12-02,11.89,11.89,11.89,11.89,11.6492,0
ABIBX,US,2016-12-02,11.69,11.69,11.69,11.69,11.5842,0
ABICX,US,2016-12-02,11.53,11.53,11.53,11.53,11.5234,0
ABIEX,US,2016-12-02,8.51,8.51,8.51,8.51,7.9587,0
ABIL,US,2016-12-02,3.32,3.34,3.21,3.21,3.21,3706
ABINX,US,2016-12-02,17.53,17.53,17.53,17.53,16.2213,0
ABIO,US,2016-12-02,2.4,2.5,2.3222,2.3222,2.3222,45176
ABISX,US,2016-12-02,9.74,9.74,9.74,9.74,9.7175,0
ABIYX,US,2016-12-02,12.16,12.16,12.16,12.16,11.8745,0
ABKB,US,2016-12-02,0.0408,0.0408,0.0408,0.0408,0.0408,0
ABKEX,US,2016-12-02,8.51,8.51,8.51,8.51,8.0041,0
ABKI,US,2016-12-02,0.015,0.015,0.008,0.0143,0.0143,23500
ABKYX,US,2016-12-02,12.49,12.49,12.49,12.49,11.9536,0
ABLAX,US,2016-12-02,19.82,19.82,19.82,19.82,18.7242,0
ABLCX,US,2016-12-02,19.61,19.61,19.61,19.61,18.6509,0
ABLGF,US,2016-12-02,12.6,12.6,12.6,12.6,12.6,0
ABLIX,US,2016-12-02,20.17,20.17,20.17,20.17,19.0116,0
ABLOX,US,2016-12-02,15.32,15.32,15.32,15.32,14.8991,0
ABLPX,US,2016-12-02,20.12,20.12,20.12,20.12,18.9676,0
ABLRX,US,2016-12-02,19.78,19.78,19.78,19.78,18.8113,0
ABLSX,US,2016-12-02,15.1417,15.1417,15.1417,15.1417,14.8254,0
ABLT,US,2016-12-02,210,210,210,210,210,0
ABLYF,US,2016-12-02,9.76,9.76,9.76,9.76,9.76,0
ABLYX,US,2016-12-02,27.7013,27.7013,27.7013,27.7013,24.3218,0
ABLZF,US,2016-12-02,20.26,20.26,20.26,20.26,18.2956,0
ABM,US,2016-12-02,42.93,43.61,42.71,43.57,42.4507,231709
ABMAX,US,2016-12-02,14.8732,14.8732,14.8732,14.8732,14.2812,0
ABMBF,US,2016-12-02,0.0675,0.0675,0.0675,0.0675,0.0675,7400
ABMC,US,2016-12-02,0.11,0.11,0.11,0.11,0.11,0
ABMD,US,2016-12-02,107.03,109.83,106.8,108.87,108.87,460155
ABMIX,US,2016-12-02,42.69,42.69,42.69,42.69,38.3071,0
ABMT,US,2016-12-02,0.2,0.2,0.2,0.2,0.2,0
ABN,,2016-12-02,0.09,0.09,0.09,0.09,0.09,12000
ABNAF,US,2016-12-02,0.0548,0.0548,0.0548,0.0548,0.0548,0
ABNAX,US,2016-12-02,10.72,10.72,10.72,10.72,10.4522,0
ABNCX,US,2016-12-02,10.51,10.51,10.51,10.51,10.3615,0
