Code,Ex,Date,Open,High,Low,Close,Adjusted_close,Volume,Prev_close,Change,Change_%
1808,,2017-09-04,1388,1404,1378,1390,1390,1487800
2768,,2017-09-04,291,293,289,291,291,7088700
